"","Issue_Resolution","Issue_Category","Issue_Severity","Support_Level","Support_Channel","Building","City","Position","Country","Tenure_Months","Career_Desc","Division"
"23935"," Workaround","Apps","Sev1","Gold","Chat","MOBILE","Sydney","Inside Sales","AU ",6,"IC3","D009170"
"27259"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Edinburgh","Relationship Management","GB ",52,"IC4","D010405"
"52587","Resolved by Caller","Apps","Sev2",NA,"Chat","B0767","Zaventem","Sales Excellence","BE ",3,NA,"D010467"
"51194"," User Education","Apps","Sev3","Silver","Email","MOBILE","Melbourne","Relationship Management","AU ",64,"IC4","D009170"
"32585","Unknown","Apps","Sev3","Platinum","Chat","MOBILE","Sydney","Account Management","AU ",34,"IC2","D009170"
"60489","Unknown","Apps","Sev2",NA,"Email","B0685","Sunnyvale","Business Operations","US ",27,"IC3","D006433"
"15493"," Workaround","Apps","Sev1","Silver","Chat","B0618","Shanghai","Support Engineering","CN ",54,"IC3","D005841"
"17858"," Request Complete","Apps","Sev2","Silver","Email","MOBILE","Singapore","Corporate Affairs","SG ",182,"MGR5","D009703"
"5574"," Request Complete","Apps","Sev2",NA,"Phone","B0921","Seattle","Software Engineering","US ",104,"IC3","D006433"
"19152"," User Education","Apps","Sev2",NA,"Email","B0685","Sunnyvale","Business Operations","US ",4,"IC4","D006433"
"64810"," Workaround","Apps","Sev3",NA,"Email","B0565","Sunnyvale","Software Engineering","US ",77,"IC3","D006433"
"18774","Unknown","Apps","Sev3",NA,"Email","B0589","Sunnyvale","Service Engineering","US ",136,"MGR2","D006433"
"67824"," Request Complete","Apps","Sev2",NA,"Email","B0934","Mumbai","Service Engineering","IN ",27,"IC3","D013936"
"55042"," Request Complete","Apps","Sev3",NA,"Email","B0228","Sunnyvale","Hardware Engineering","US ",98,"MGR3","D006433"
"76235","Resolved by Caller","Apps","Sev3",NA,"Phone","HOME OFFICE","FALLS CHURCH","Relationship Management","US ",15,"IC4","D006433"
"36122"," Workaround","Apps","Sev2",NA,"Email","B0373","Sunnyvale","Support Delivery","US ",205,"IC4","D006433"
"2735","Resolved by Caller","Apps","Sev2",NA,"Email","B0391","Mexico City","Marketing Communications","MX ",131,"IC5","D009124"
"74321"," Request Complete","Apps","Sev1","Silver","Email","MOBILE","Riyadh","Technology Strategy","SA ",104,"IC6","D005568"
"15983"," Workaround","Apps","Sev2",NA,"Email","B0720","Sunnyvale","Business Operations","US ",364,"IC3","D006433"
"76835","Unknown","Apps","Sev2","Silver","Email","B0228","Sunnyvale","Supply Chain","US ",17,"IC4","D006433"
"68752"," Workaround","Apps","Sev1",NA,"Chat","B0738","Cork","Inside Sales","IE ",10,"IC2","D015571"
"45886"," Workaround","Apps","Sev2",NA,"Email","B0125","Sunnyvale","Marketing","US ",59,"IC4","D006433"
"13674"," Request Complete","Apps","Sev2",NA,"Chat","MOBILE","Toulouse","Relationship Management","FR ",79,"IC3","D008654"
"17040","Unknown","Apps","Sev2",NA,"Chat","B0741","Sunnyvale","Business Operations","US ",175,"MGR4","D006433"
"66930"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",9,"IC3","D006433"
"80921"," Workaround","Apps","Sev2","Gold","Chat","MOBILE","Barcelona","Relationship Management","ES ",22,"IC5","D004024"
"57783","Unknown","Apps","Sev1",NA,"Chat","B0035","Sunnyvale","Tax","US ",18,"IC3","D006433"
"48890","Resolved by Caller","Apps","Sev1",NA,"Chat","MOBILE","Kuala Lumpur","Sales Leadership","MY ",44,"MGR3","D006206"
"3024"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Denver","Relationship Management","US ",40,"IC4","D006433"
"53305"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Berlin","Business Evangelist","DE ",311,"IC5","D014045"
"82713"," Workaround","Apps","Sev1",NA,"Chat","B0934","Mumbai","Program Management","IN ",72,"IC3","D013936"
"71528"," User Education","Apps","Sev1",NA,"Chat","MOBILE","taipei","Account Management","TW ",90,"IC3","D008850"
"80594"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",15,"IC2","D007359"
"35458","Software Update","Apps","Sev2",NA,"Email","B0711","Seattle","Business Intelligence","US ",66,"IC3","D006433"
"11681","Unknown","Apps","Sev2",NA,"Email","B0182","Sunnyvale","Marketing Communications","US ",41,"IC3","D006433"
"53402"," Workaround",NA,"Sev1",NA,"Chat","B0029","Austin","Support Engineering","US ",145,"IC5","D006433"
"44855"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Kuala Lumpur","Relationship Management","MY ",143,"IC4","D006206"
"18011"," User Education","Apps","Sev2",NA,"Email","MOBILE","Athens","Account Management","GR ",75,"IC4","D003670"
"77012"," User Education","Apps","Sev2",NA,"Email","MOBILE","Schiphol","Licensing","NL ",26,"IC3","D008233"
"60786"," Workaround","Apps","Sev3",NA,"Phone","B0711","Seattle","Support Engineering","US ",140,"IC4","D006433"
